idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
0,0.0,-3.0,0.0,0.0,0.01785739511513812,0.015499918346865843,0.030802699378290888,-0.4862887413816559,-0.42839902016239007,-0.8536323925394904,0,70,255.0,255.0,255.0
1,0.05,-2.999713133775855,0.00024119706048717033,0.0004760971776184721,-0.0063455982470363905,-0.005818037560441711,-0.011698758285986186,-0.48183099310532446,-0.4243192161299121,-0.8464259140315924,0,70,255.0,255.0,255.0
2,0.1,-3.000630845034473,-0.0005784039193504396,-0.001163870429842037,-0.030325704195394328,-0.026932003266125364,-0.05383989202486836,-0.477373244828993,-0.42023941209743404,-0.8392194355236944,0,70,255.0,255.0,255.0
3,0.15000000000000002,-3.002741989405164,-0.002448603429431635,-0.0049018866261117825,-0.0540829227299357,-0.047841978770185124,-0.09562070183835562,-0.4729154965526615,-0.41615960806495605,-0.8320129570157964,0,70,255.0,255.0,255.0
4,0.2,-3.006035422517237,-0.0053592019596752204,-0.010719935214921018,-0.07761725385066048,-0.06854796407262097,-0.137041187726448,-0.4684577482763301,-0.412079804032478,-0.8248064785078983,0,70,255.0,255.0,255.0
5,0.25,-3.0105,-0.0093,-0.0186,-0.1009286975575687,-0.08904995917343292,-0.17810134968914546,-0.46399999999999886,-0.4079999999999997,-0.8176000000000008,0,70,255.0,255.0,255.0
6,0.30000000000000004,-3.016124577482763,-0.014260798040324782,-0.028524064785078993,-0.12401725385066038,-0.10934796407262097,-0.21880118772644808,-0.45954225172366725,-0.4039201959675218,-0.8103935214921023,0,70,255.0,255.0,255.0
7,0.35000000000000003,-3.0228980105948358,-0.020231396570568366,-0.04047411337388823,-0.14688292272993544,-0.1294419787701851,-0.2591407018383557,-0.4550845034473357,-0.39984039193504395,-0.803187042984204,0,70,255.0,255.0,255.0
8,0.4,-3.0308091549655263,-0.027201596080649558,-0.05443212957015798,-0.16952570419539395,-0.14933200326612533,-0.29911989202486844,-0.4506267551710041,-0.3957605879025661,-0.7959805644763055,0,70,255.0,255.0,255.0
9,0.45,-3.039846866224145,-0.03516119706048717,-0.07038009717761849,-0.19194559824703583,-0.16901803756044173,-0.3387387582859862,-0.44616900689467254,-0.3916807838700882,-0.7887740859684071,0,70,255.0,255.0,255.0
10,0.5,-3.05,-0.0441,-0.0883,-0.2141426048848612,-0.1885000816531342,-0.37799730062170916,-0.44171125861834115,-0.387600979837611,-0.7815676074605085,0,70,255.0,255.0,255.0
11,0.55,-3.0612565562930913,-0.05400760489918806,-0.10817183803730257,-0.2360653863503199,-0.20776610614907448,-0.41677649080822193,-0.43520000000000597,-0.38304000000000016,-0.7695999999999994,0,70,255.0,255.0,255.0
12,0.6000000000000001,-3.073601112586183,-0.06487280979837613,-0.12996767607460513,-0.2576626048848618,-0.22680408165313423,-0.4549573006217092,-0.4286887413816708,-0.3784790201623894,-0.7576323925394904,0,70,255.0,255.0,255.0
13,0.65,-3.087017390732729,-0.07668421224797013,-0.15365759509325638,-0.278934260488487,-0.24561400816531342,-0.49253973006217094,-0.42217748276333567,-0.37391804032477854,-0.7456647850789814,0,70,255.0,255.0,255.0
14,0.7000000000000001,-3.1014891125861834,-0.08943040979837613,-0.17921167607460514,-0.2998803531611954,-0.26419588568561214,-0.5295237791296072,-0.4156662241450005,-0.36935706048716777,-0.7336971776184723,0,70,255.0,255.0,255.0
15,0.75,-3.117,-0.1031,-0.2066,-0.320500882902987,-0.2825497142140302,-0.5659094478240182,-0.4091549655266653,-0.3647960806495574,-0.721729570157966,0,70,255.0,255.0,255.0
16,0.8,-3.13353399734487,-0.11768078236292301,-0.23579338306571088,-0.34080920074806187,-0.30062761133108107,-0.6017408490406648,-0.4031777482763288,-0.35831980403247793,-0.7115264785078986,0,70,255.0,255.0,255.0
17,0.8500000000000001,-3.151075939060431,-0.13315736423592725,-0.26676558232769154,-0.36081865773061994,-0.318381694617278,-0.6370620956748081,-0.3972005310259923,-0.3518435274153985,-0.7013233868578312,0,70,255.0,255.0,255.0
18,0.9,-3.169610882103557,-0.14951355492746993,-0.2994910900568166,-0.3805292538506611,-0.3358119640726209,-0.6718731877264479,-0.3912233137756558,-0.3453672507983191,-0.691120295207764,0,70,255.0,255.0,255.0
19,0.9500000000000001,-3.189123883431122,-0.1667331637460084,-0.33394439852396124,-0.3999409891081855,-0.3529184196971099,-0.7061741251955845,-0.38524609652531927,-0.33889097418123965,-0.6809172035576966,0,70,255.0,255.0,255.0
20,1.0,-3.2096,-0.1848,-0.3701,-0.419053863503193,-0.3697010614907449,-0.7399649080822176,-0.3792688792749819,-0.332414697564162,-0.670714111907631,0,70,255.0,255.0,255.0
21,1.05,-3.2310242543274286,-0.20369886564911993,-0.4079322296998541,-0.43786581065743413,-0.3862194485266012,-0.7732361130291185,-0.37320900689466335,-0.3283207838700893,-0.6601340859684084,0,70,255.0,255.0,255.0
22,1.1,-3.253381531172093,-0.22341853325791508,-0.4474147946146292,-0.4563747641926594,-0.40253313987775385,-0.8059783166790585,-0.36714913451434483,-0.32422687017601654,-0.6495540600291859,0,70,255.0,255.0,255.0
23,1.1500000000000001,-3.2766566808530437,-0.24394876804215027,-0.4885212446794774,-0.47458072410886865,-0.4186421355442028,-0.8381915190320373,-0.3610892621340263,-0.32013295648194384,-0.6389740340899633,0,70,255.0,255.0,255.0
24,1.2000000000000002,-3.3008345536893295,-0.26527933521759034,-0.5312251298295504,-0.4924836904060621,-0.43454643552594824,-0.8698757200880549,-0.3550293897537078,-0.31603904278787115,-0.6283940081507408,0,70,255.0,255.0,255.0
25,1.25,-3.3259,-0.2874,-0.5755,-0.5100836630842394,-0.45024603982298994,-0.9010309198471113,-0.3489695173733889,-0.31194512909379934,-0.6178139822115165,0,70,255.0,255.0,255.0
26,1.3,-3.351837785345417,-0.3102997550405973,-0.6213192981348729,-0.5273755566221994,-0.4656945945625141,-0.931650698842861,-0.3427062241450088,-0.30599706048716796,-0.6069771776184725,0,70,255.0,255.0,255.0
27,1.35,-3.3786323362511963,-0.33396450273241257,-0.668656039213792,-0.5443542854987403,-0.48084574587170675,-0.9617286376089585,-0.33644293091662864,-0.3000489918805366,-0.5961403730254284,0,70,255.0,255.0,255.0
28,1.4000000000000001,-3.406267994484267,-0.3583793729039292,-0.7174831312252747,-0.5610198497138622,-0.4956994937505678,-0.9912647361454039,-0.33017963768824854,-0.2941009232739052,-0.5853035684323844,0,70,255.0,255.0,255.0
29,1.4500000000000002,-3.434729101811559,-0.38352949538363057,-0.7677734821578384,-0.5773722492675651,-0.5102558381990974,-1.0202589944521971,-0.32391634445986844,-0.2881528546672738,-0.5744667638393404,0,70,255.0,255.0,255.0
30,1.5,-3.464,-0.4094,-0.8195,-0.593411484159849,-0.5245147792172952,-1.048711412529338,-0.317653051231483,-0.2822047860606398,-0.5636299592463008,0,70,255.0,255.0,255.0
31,1.55,-3.4940654042909047,-0.4359765141884908,-0.8726353777606546,-0.609159962853769,-0.5385061732233422,-1.0766090915994382,-0.31228609652531636,-0.27745097418124,-0.5522772035576982,0,70,255.0,255.0,255.0
